D:\Sandra\Metapanda\laser\Laser-Ni-Xlens-H2He-12072022-Calibration7.b\2.5ppm-cal7-2.d,,,,,,,,,,,,,,,,,,,
Intensity Vs Time,CPS,,,,,,,,,,,,,,,,,,
Acquired      : 2022-07-12 17:25:28 using Batch Laser-Ni-Xlens-H2He-12072022-Calibration7.b,,,,,,,,,,,,,,,,,,,
Time [Sec],Cr53,Co59,Ni60,Cu63,Zn64,Ge72,As75,Se78,Mo98,Rh103,Cd111,Sb121,Te126,Gd157,Pt195,Hg202,Tl205,Pb208,U238
141.042,16.67,325,66.67,500.01,500.01,1050.03,0,25,66.67,2983.6,70,2650.22,1266.72,666.68,150,216.67,0,916.69,1116.71
142.36,16.67,300,100,512.51,450.01,983.36,0,12.5,100,2950.26,30,3833.79,1350.06,900.03,150,266.67,0,1200.05,1383.4
143.678,0,337.5,33.33,512.51,487.51,850.02,12.5,0,50,3667.08,100,3400.36,1216.71,716.68,166.67,83.33,0,1033.37,1183.38
144.997,0,300,116.67,637.51,450.01,966.69,0,0,0,3683.75,90,3733.76,966.7,733.35,166.67,133.33,0,650.01,1366.73
146.315,0,337.5,116.67,512.51,450.01,816.69,0,0,50,3917.13,10,3367.02,1166.71,766.69,200,266.67,0,1183.38,1000.03
147.633,16.67,475.01,83.33,625.01,425.01,550.01,0,12.5,50,3433.69,50,4117.19,1083.37,600.01,16.67,83.33,0,1000.03,1250.05
148.951,66.67,300,66.67,800.02,375,900.02,0,12.5,66.67,2816.91,50,3383.69,1783.43,766.69,200,50,50,1250.05,1800.11
150.269,100,400,150,600.01,550.01,783.35,0,50,66.67,3667.08,70,2483.52,866.69,500.01,100,150,0,866.69,1366.73
151.587,0,275,16.67,700.01,425.01,683.35,0,0,50,3633.74,60,3617.07,1383.39,883.36,183.33,116.67,16.67,883.36,1033.37
152.905,83.33,300,50,650.01,387.5,600.01,0,12.5,83.33,4333.9,20,3200.32,1116.71,500.01,216.67,233.34,33.33,883.36,1150.04
154.223,0,312.5,116.67,637.51,462.51,700.01,12.5,0,33.33,3633.74,30,3033.62,1150.04,666.68,233.34,183.33,66.67,1250.05,1333.39
155.541,16.67,175,116.67,625.01,400,700.01,12.5,0,50,2766.9,110,3116.97,766.68,600.01,116.67,150,0,1200.05,1350.06
156.859,0,275,33.33,575.01,250,700.01,12.5,0,133.33,4100.51,80,3767.1,1316.72,533.34,83.33,316.67,0,1066.7,1050.04
158.177,16.67,287.5,183.33,575.01,400,766.68,0,0,83.33,3433.69,80,2966.94,1250.05,566.68,133.33,216.67,83.33,1033.37,1566.75
159.495,0,225,200,787.52,487.51,966.69,0,0,50,3667.08,60,3417.03,1200.04,733.35,150,166.67,0,783.35,1500.08
160.813,33.33,325,100,675.01,675.01,733.35,50,12.5,66.67,3783.77,30,3050.29,1366.72,433.34,66.67,100,0,1250.05,966.7
162.131,50,287.5,50,487.51,425.01,683.35,12.5,0,50,3367.01,60,2900.26,1733.43,566.68,216.67,183.33,16.67,966.7,1133.38
163.449,33.33,350,83.33,637.51,675.01,1016.7,12.5,0,33.33,3517.04,80,3216.99,1900.11,700.02,66.67,250,33.33,750.02,1183.38
164.767,0,287.5,83.33,737.52,575.01,850.02,12.5,37.5,66.67,3367.01,60,3233.66,1100.04,666.68,200,150,16.67,1383.4,1583.42
166.086,50,262.5,83.33,700.01,337.5,783.35,0,0,83.33,3633.74,100,2150.14,883.36,583.34,150,266.67,16.67,1183.38,1500.08
